"","celltype"
"aaampkkj-1","Erythroid"
"aabkhcpo-1","Erythroid"
"aablpiif-1","Erythroid"
"aabnjbbo-1","Erythroid"
"aacadkpe-1","Erythroid"
"aacimkgf-1","Erythroid"
"aaclcggc-1","Erythroid"
"aaclohop-1","Erythroid"
"aadaaabh-1","Erythroid"
"aadhglel-1","pDC"
"aadifedd-1","Erythroid"
"aadlopij-1","Erythroid"
"aadnpaac-1","Erythroid"
"aaeaccep-1","Granulocyte_monocyte_progenitor"
"aaebhmim-1","Erythroid"
"aaedfnga-1","Erythroid"
"aaefboja-1","Granulocyte_monocyte_progenitor"
"aaeghmhe-1","MonoCD14"
"aaegnlaj-1","Plasma_cell"
"aaehfjnm-1","Erythroid"
"aaehhmac-1","Erythroid"
"aaejemgn-1","Erythroid"
"aafmpnap-1","MonoCD16"
"aagdaioi-1","HSC"
"aagdmpfj-1","MonoCD14"
"aagjhfae-1","Granulocyte_monocyte_progenitor"
"aaglkijl-1","Granulocyte_monocyte_progenitor"
"aagpbadg-1","Erythroid"
"aahhckim-1","Erythroid"
"aahngnkh-1","MonoCD14"
"aahodnaj-1","Erythroid"
"aahoipnf-1","Erythroid"
"aaialkid-1","Erythroid"
"aaiddmej-1","MonoCD14"
"aaihghnk-1","Erythroid"
"aaihijbm-1","HSC"
"aaiicoij-1","Plasma_cell"
"aaikhcdc-1","Plasma_cell"
"aaioecha-1","Erythroid"
"aajbeeji-1","Erythroid"
"aajfoibj-1","Erythroid"
"aajhjgib-1","Erythroid"
"aajiikfg-1","Erythroid"
"aajjmddd-1","Erythroid"
"aajlhjhf-1","Erythroid"
"aajngbpo-1","Erythroid"
"aajnlafp-1","Erythroid"
"aajnnpfm-1","Erythroid"
"aajobgah-1","Erythroid"
"aakdcbig-1","Erythroid"
"aakdchfc-1","Erythroid"
"aakfijho-1","MonoCD14"
"aakhejdl-1","Erythroid"
"aakjeihm-1","Erythroid"
"aaknjhco-1","Erythroid"
"aalkennd-1","Erythroid"
"aaloammi-1","Erythroid"
"aamacfda-1","Erythroid"
"aamgjcje-1","Erythroid"
"aamnnaad-1","Erythroid"
"aaneihfa-1","Erythroid"
"aankhbni-1","Erythroid"
"aanopmlb-1","Erythroid"
"aaoangkk-1","HSC"
"aaogkgjb-1","HSC"
