"","celltype"
"aaaahhhg-1","Erythroid"
"aaaakojk-1","Erythroid"
"aaacmfho-1","Erythroid"
"aaacnadd-1","Erythroid"
"aaadaahj-1","Neutrophil"
"aaadkldl-1","Neutrophil"
"aaadlbpa-1","Erythroid"
"aaadmfkb-1","Neutrophil"
"aaadojgh-1","Erythroid"
"aaaecfll-1","Erythroid"
"aaaeicae-1","Neutrophil"
"aaafobha-1","Erythroid"
"aaagogcc-1","Erythroid"
"aaaialdc-1","Erythroid"
"aaaigcef-1","Plasma_cell"
"aaajibgm-1","Erythroid"
"aaakibfc-1","Neutrophil"
"aaamlfdp-1","CTL"
"aaanhihh-1","Erythroid"
"aaaoafmd-1","MonoCD14"
"aaaoflcp-1","Erythroid"
"aaapbpgd-1","Neutrophil"
"aaapmamp-1","Neutrophil"
"aabaepjf-1","Erythroid"
"aabbafaa-1","Erythroid"
"aabbccda-1","Erythroid"
"aabbjkfm-1","B_progenitor"
"aabdcknf-1","Neutrophil"
"aabdcpko-1","Neutrophil"
"aabedecb-1","Erythroid"
"aabeiflf-1","Granulocyte_monocyte_progenitor"
"aabejkpe-1","Neutrophil"
"aabfadik-1","MonoCD14"
"aabfjkfg-1","Erythroid"
"aabfjndh-1","Neutrophil"
"aabhdlba-1","Neutrophil"
"aabifbog-1","Granulocyte_monocyte_progenitor"
"aabimbdf-1","Erythroid"
"aabincfl-1","Granulocyte_monocyte_progenitor"
"aabinnco-1","Neutrophil"
"aabjdeeh-1","Nonhaem"
"aabjhbhc-1","Granulocyte_monocyte_progenitor"
"aabjhojm-1","Macrophage"
"aabkhfng-1","Macrophage"
"aablinpk-1","Neutrophil"
"aabnijcc-1","Platelet"
"aaboejio-1","Erythroid"
"aabpcfaa-1","HSC"
"aabphnjk-1","Erythroid"
"aacaolih-1","Erythroid"
"aaccaebd-1","Macrophage"
"aacchnfc-1","Erythroid"
"aacdiadb-1","Neutrophil"
"aaceoopg-1","HSC"
"aacficeh-1","Neutrophil"
"aacfjlcn-1","Neutrophil"
"aacfogga-1","Erythroid"
"aacgejbi-1","Erythroid"
"aacgieof-1","Neutrophil"
"aachljho-1","Erythroid"
"aachnpho-1","Neutrophil"
"aacjealg-1","Plasma_cell"
"aacjienj-1","Erythroid"
"aacjljil-1","Erythroid"
"aaclngen-1","Neutrophil"
"aacnolil-1","Erythroid"
"aacofaii-1","Neutrophil"
"aacopdhk-1","Erythroid"
"aacpalcj-1","Erythroid"
"aacpcfic-1","Neutrophil"
"aacpkgch-1","Erythroid"
"aadbhahk-1","Neutrophil"
"aadchihj-1","Erythroid"
"aadchopn-1","Nonhaem"
"aadcnfgn-1","Plasma_cell"
"aadecfen-1","Erythroid"
"aadedbbo-1","Neutrophil"
"aadenpao-1","Neutrophil"
"aadgaojn-1","Neutrophil"
"aadgknpd-1","HSC"
"aadhnenk-1","Erythroid"
"aadinpap-1","Erythroid"
"aadjilie-1","Neutrophil"
"aadjjppb-1","Erythroid"
"aadknejl-1","Erythroid"
"aadlfalo-1","Erythroid"
"aadmmlmc-1","HSC"
"aadnimod-1","B_memory"
"aadnmlia-1","Neutrophil"
"aadoldne-1","HSC"
"aadopdcp-1","Nonhaem"
"aaealfaf-1","CD4_T_memory"
"aaebecef-1","Neutrophil"
"aaebigec-1","HSC"
"aaebnfab-1","Erythroid"
"aaecjbal-1","Neutrophil"
"aaedjdkp-1","B_naive"
"aaeedcgl-1","Macrophage"
"aaeefgio-1","Neutrophil"
"aaeejnig-1","MonoCD14"
"aaeeoocb-1","Nonhaem"
"aaefacpl-1","HSC"
"aaegalni-1","Neutrophil"
"aaehhfjb-1","Granulocyte_monocyte_progenitor"
"aaeijmpb-1","MonoCD14"
"aaejjknc-1","Neutrophil"
"aaekdefp-1","Nonhaem"
"aaekhgjg-1","Neutrophil"
"aaemamjo-1","Erythroid"
"aaemikfb-1","Neutrophil"
"aaenajbn-1","Neutrophil"
"aaeofegh-1","Neutrophil"
"aaeojgha-1","Erythroid"
"aafcbjfa-1","Neutrophil"
"aafdcecf-1","Neutrophil"
"aafdggjk-1","Erythroid"
"aafdnnbo-1","Erythroid"
"aafeiilp-1","Erythroid"
"aaffegde-1","Erythroid"
"aaffmifh-1","Erythroid"
"aafgbnfp-1","B_memory"
"aafgcgak-1","Neutrophil"
"aafigkmj-1","Neutrophil"
"aafilanm-1","Neutrophil"
"aafiohnn-1","Granulocyte_monocyte_progenitor"
"aafjahoh-1","Neutrophil"
"aafjcihn-1","MonoCD14"
"aafknkff-1","Nonhaem"
"aafmcalb-1","Macrophage"
"aafoilkl-1","Neutrophil"
"aafppffl-1","B_naive"
"aagbjmjj-1","Erythroid"
"aagbpmin-1","Erythroid"
"aagcmpbk-1","HSC"
"aagcokii-1","Neutrophil"
"aagcomhl-1","Erythroid"
"aageejob-1","pDC"
"aagfdnfh-1","Erythroid"
"aagfikbf-1","Erythroid"
"aagggmpj-1","Erythroid"
"aaghbnem-1","Nonhaem"
"aaghefon-1","Erythroid"
"aaghhgel-1","MonoCD14"
"aaghkpea-1","Erythroid"
"aaghlcmk-1","Nonhaem"
"aagigdmh-1","HSC"
"aaglaafc-1","Erythroid"
"aaglbfcp-1","Nonhaem"
"aaglnlij-1","Nonhaem"
"aagmfmdc-1","Macrophage"
"aagnambh-1","Erythroid"
"aagodhgc-1","HSC"
"aagonhbn-1","Erythroid"
"aahbigek-1","HSC"
"aahbjffa-1","CD4_T_memory"
"aahbnnil-1","Macrophage"
"aahcedmp-1","HSC"
"aahcffhm-1","HSC"
"aahcknbl-1","Nonhaem"
"aahehkkp-1","Nonhaem"
"aahijldg-1","MonoCD14"
"aahkidpm-1","CD4_T_naive"
"aahknegk-1","Macrophage"
"aahkohdg-1","Granulocyte_monocyte_progenitor"
"aahmhonn-1","B_naive"
"aahmlibe-1","CTL"
"aahocgnf-1","Neutrophil"
"aahohjka-1","Erythroid"
"aahpaaea-1","Macrophage"
"aaibaddl-1","Macrophage"
"aaibcnjn-1","Erythroid"
"aaicepka-1","B_memory"
"aaicfpmo-1","Neutrophil"
"aaicjpoj-1","Erythroid"
"aaidooco-1","Erythroid"
"aaifjkge-1","Erythroid"
"aaiheemh-1","HSC"
"aaihmonc-1","Macrophage"
"aaiifbaf-1","Erythroid"
"aaiincab-1","Erythroid"
"aaijnbli-1","Macrophage"
"aaikdhbd-1","MonoCD14"
"aaikdhpd-1","Macrophage"
"aaikkfig-1","Erythroid"
"aaikncmi-1","Erythroid"
"aaiknejk-1","Erythroid"
"aaileplp-1","Erythroid"
"aaimekhe-1","HSC"
"aaimoilk-1","Erythroid"
"aaincmle-1","HSC"
"aaiohnnl-1","Macrophage"
"aaipleei-1","Erythroid"
"aajabjdi-1","Macrophage"
"aajahaeb-1","Macrophage"
"aajajmnj-1","Macrophage"
"aajbcfjm-1","Macrophage"
"aajcalkj-1","Erythroid"
"aajdfclb-1","MonoCD14"
"aajendle-1","Erythroid"
"aajhfkon-1","Macrophage"
"aajhjlno-1","Erythroid"
"aajiaefk-1","MonoCD16"
"aajidijb-1","Erythroid"
"aajilogi-1","Erythroid"
"aajjhfem-1","HSC"
"aajlglgi-1","Neutrophil"
"aajlichf-1","Neutrophil"
"aajmkcin-1","Plasma_cell"
"aajpfjkd-1","Erythroid"
"aakbmdad-1","Erythroid"
"aakcdifo-1","Macrophage"
"aakcdkff-1","Macrophage"
"aakdepbh-1","Nonhaem"
"aakdnenc-1","Neutrophil"
"aakebkli-1","CTL"
"aakehfmg-1","Erythroid"
"aakffonb-1","Erythroid"
"aakgdmhn-1","Erythroid"
"aakhmbdm-1","HSC"
"aakjjbag-1","CD4_T_memory"
"aakjockd-1","Neutrophil"
"aakjompb-1","B_memory"
"aaklkfcc-1","Erythroid"
"aakllafm-1","Erythroid"
"aakmjjjm-1","Macrophage"
"aakmnljo-1","Erythroid"
"aakonlnm-1","HSC"
"aakpkelp-1","Erythroid"
"aalbbdmh-1","Erythroid"
"aalgfleg-1","Neutrophil"
"aalidohk-1","Granulocyte_monocyte_progenitor"
"aalinjgp-1","Erythroid"
"aaljfnpa-1","Erythroid"
"aaljgddc-1","Granulocyte_monocyte_progenitor"
"aaljpffk-1","Erythroid"
"aalkieae-1","Erythroid"
"aallogdc-1","Erythroid"
"aalmhoam-1","HSC"
"aaloehap-1","Erythroid"
"aalofmke-1","Erythroid"
"aamaaehj-1","B_memory"
"aamappnl-1","Neutrophil"
"aambcijm-1","Erythroid"
"aamcbapl-1","Erythroid"
"aamcibkg-1","MonoCD14"
"aamdjccl-1","Macrophage"
"aamekjam-1","Erythroid"
"aamfajkp-1","Erythroid"
"aamgodaa-1","Erythroid"
"aamhanab-1","Erythroid"
"aamhaopa-1","Erythroid"
"aamhcibn-1","Neutrophil"
"aamhmkkl-1","Erythroid"
"aamjmeog-1","Neutrophil"
"aamkelfl-1","Macrophage"
"aamkpdpm-1","Erythroid"
"aamloffb-1","Erythroid"
"aammohde-1","Erythroid"
"aamndjem-1","Erythroid"
"aamnmaof-1","HSC"
"aamoddmd-1","Erythroid"
"aamohpcg-1","CTL"
"aamolobb-1","CD4_Tcm"
"aamppebn-1","Erythroid"
"aanafpoo-1","Erythroid"
"aancggna-1","Neutrophil"
"aancgmpn-1","Nonhaem"
"aandcgcl-1","Erythroid"
"aandejhf-1","Erythroid"
"aandpiah-1","NK_cell"
"aanebjoa-1","Erythroid"
"aaneefap-1","HSC"
"aaneffof-1","NK_cell"
"aanehgao-1","Erythroid"
"aanejgei-1","Erythroid"
"aanfmdob-1","Neutrophil"
"aangnlih-1","Erythroid"
"aanhfaji-1","pDC"
"aanhohkj-1","Erythroid"
"aanipnjo-1","MonoCD14"
"aanjheam-1","MonoCD14"
"aanjjion-1","MonoCD14"
"aankdagj-1","HSC"
"aanljjdo-1","HSC"
"aanmfgem-1","Macrophage"
"aanmjboh-1","Neutrophil"
"aanmknad-1","Neutrophil"
"aanneccl-1","NK_cell"
"aanoeojb-1","HSC"
"aanpihaa-1","Erythroid"
"aanpikil-1","B_naive"
"aaoaedfb-1","Macrophage"
"aaoahjja-1","Erythroid"
"aaoakjim-1","Plasma_cell"
"aaoamkfa-1","Erythroid"
"aaobhlkk-1","Erythroid"
"aaocffmj-1","Macrophage"
"aaodbobh-1","Macrophage"
"aaodefhb-1","Erythroid"
"aaoecgki-1","Erythroid"
"aaohdmie-1","Granulocyte_monocyte_progenitor"
"aaoihhhi-1","Erythroid"
"aaoijihj-1","Plasma_cell"
"aaojdcgo-1","Plasma_cell"
"aaojgnel-1","Neutrophil"
"aaojknca-1","Neutrophil"
"aaokgcmm-1","Erythroid"
"aaolgibj-1","Nonhaem"
"aaolophl-1","Neutrophil"
"aaomligb-1","Erythroid"
"aaonaand-1","Erythroid"
"aaonmgpf-1","Neutrophil"
"aaopikmg-1","Nonhaem"
"aapagcip-1","Nonhaem"
"aapaoiol-1","Erythroid"
"aapbdmeo-1","Neutrophil"
"aapbgiel-1","HSC"
"aapbhdem-1","Neutrophil"
"aapblphc-1","HSC"
"aapcglia-1","Erythroid"
"aapddmpo-1","Neutrophil"
"aapdpcfo-1","HSC"
"aapebhmi-1","Macrophage"
"aapfahlp-1","Erythroid"
"aapfepaf-1","Erythroid"
"aapggjia-1","B_progenitor"
"aapgjigd-1","Erythroid"
"aapglaan-1","HSC"
"aapgmgbk-1","Erythroid"
"aaphppoo-1","Erythroid"
"aapicodc-1","Erythroid"
"aapjcmhi-1","Erythroid"
"aapjkokk-1","CD4_T_naive"
"aapkaicp-1","Erythroid"
"aapkblbb-1","Erythroid"
"aapkegdo-1","Erythroid"
"aapknojm-1","Erythroid"
"aaplbndo-1","Erythroid"
"aapljkpl-1","Erythroid"
"aaplpgia-1","Erythroid"
"aapmegbo-1","Erythroid"
"aapmjalg-1","Erythroid"
"aapnoapc-1","Erythroid"
"aapodpel-1","Nonhaem"
"aapokfeh-1","Erythroid"
"aappakah-1","Erythroid"
"ababdmjd-1","Macrophage"
"ababfhll-1","B_progenitor"
"ababmofm-1","Erythroid"
"abacajcg-1","Erythroid"
"abacajjn-1","Erythroid"
"abaccmda-1","Erythroid"
"abaeeioi-1","Erythroid"
"abaejgpm-1","B_progenitor"
"abafdjod-1","Erythroid"
"abafgoil-1","Nonhaem"
"abagicfp-1","Erythroid"
"abahdkjf-1","HSC"
"abajhcpb-1","B_progenitor"
"abajjcdm-1","Erythroid"
"abajkpfi-1","Nonhaem"
"abakieeh-1","Erythroid"
"abakpdfl-1","HSC"
"abalkcje-1","Erythroid"
"abammepe-1","Erythroid"
"abancdcn-1","Neutrophil"
"abanenpf-1","Erythroid"
"abangnah-1","Macrophage"
"abanjejp-1","Erythroid"
"abaoagcf-1","Erythroid"
"abapdbdl-1","Granulocyte_monocyte_progenitor"
"abbacach-1","Neutrophil"
"abbamgcf-1","Neutrophil"
"abbbcbcc-1","Erythroid"
"abbckbmm-1","Erythroid"
"abbedipp-1","Neutrophil"
"abbfnolk-1","HSC"
"abbgpcae-1","Erythroid"
"abbhnmij-1","Neutrophil"
"abbikllj-1","Erythroid"
"abbiknaa-1","Neutrophil"
"abbiohlf-1","Erythroid"
"abbjfndk-1","Erythroid"
"abbjgdie-1","Erythroid"
"abbjiapl-1","Erythroid"
"abbjigmk-1","Erythroid"
"abbjinoa-1","CTL"
"abbjjebl-1","Erythroid"
"abbkmikb-1","Erythroid"
"abbkmjhp-1","HSC"
"abblakpn-1","Neutrophil"
"abblofbp-1","HSC"
"abbmgpco-1","Granulocyte_monocyte_progenitor"
"abbmmpgn-1","Erythroid"
"abbmoiim-1","Neutrophil"
"abbnbafl-1","Granulocyte_monocyte_progenitor"
"abbnekjo-1","Plasma_cell"
"abbnhjde-1","Macrophage"
"abbpdjik-1","Erythroid"
"abbpdkij-1","MonoCD14"
"abcajccg-1","Erythroid"
"abccjmhm-1","Neutrophil"
"abcdpiag-1","Neutrophil"
"abcediij-1","Erythroid"
"abcehipi-1","Erythroid"
"abcfphic-1","Neutrophil"
"abcghice-1","Erythroid"
"abcgkmgg-1","Erythroid"
"abcglnph-1","Neutrophil"
"abcgpoho-1","Erythroid"
"abcgppdh-1","Erythroid"
"abchkkjg-1","Neutrophil"
"abcijieh-1","Erythroid"
"abcjdkhd-1","Erythroid"
"abckccmc-1","Erythroid"
"abckdapn-1","Neutrophil"
"abckifgl-1","Erythroid"
"abclhnhk-1","Macrophage"
"abcliefl-1","Erythroid"
"abcmkfdm-1","Erythroid"
"abcmnpjm-1","Erythroid"
"abcpjefa-1","Erythroid"
"abdblhgk-1","Neutrophil"
"abdbnoeh-1","Neutrophil"
"abdbplfj-1","Neutrophil"
"abdcibpk-1","Neutrophil"
"abddkcic-1","Erythroid"
"abdekfed-1","HSC"
"abdhikim-1","Macrophage"
"abdhmked-1","Nonhaem"
"abdhobml-1","MonoCD14"
"abdjdmmk-1","Nonhaem"
"abdkeipk-1","Neutrophil"
"abdkhkgf-1","Nonhaem"
"abdkmbhb-1","Plasma_cell"
"abdmniig-1","Erythroid"
"abdncabb-1","Erythroid"
"abdnfecm-1","Erythroid"
"abdnhhjg-1","Erythroid"
"abdoaoeo-1","Neutrophil"
"abdoopfi-1","Nonhaem"
"abebddka-1","HSC"
"abebgich-1","Erythroid"
"abecmjdg-1","Macrophage"
"abedhjme-1","Neutrophil"
"abefaaek-1","Erythroid"
"abefkodi-1","Erythroid"
"abefohmj-1","Erythroid"
"abeglllb-1","Erythroid"
"abehjldp-1","Erythroid"
"abehnllh-1","Erythroid"
"abeioblg-1","Erythroid"
"abejkikk-1","Erythroid"
"abekienb-1","B_progenitor"
"abekomgc-1","Erythroid"
"abeolmok-1","CD8_T_memory"
"abfbndie-1","Neutrophil"
"abfeffeb-1","MonoCD14"
"abfeldno-1","HSC"
"abfenddn-1","Nonhaem"
"abffdach-1","Neutrophil"
"abfhcnig-1","Neutrophil"
"abfhodga-1","Nonhaem"
"abfibcdb-1","HSC"
"abfibkmp-1","Neutrophil"
"abfjcaec-1","Erythroid"
"abfjlafe-1","Neutrophil"
"abfjnaek-1","Erythroid"
"abfkfine-1","Erythroid"
"abfkicho-1","Nonhaem"
"abflkpcm-1","Erythroid"
"abfmhpig-1","Erythroid"
"abfnlblh-1","Erythroid"
"abfnngan-1","HSC"
"abfodgci-1","Erythroid"
"abfpmahd-1","HSC"
"abgajomg-1","Neutrophil"
"abgalecf-1","HSC"
"abgalgck-1","HSC"
"abgboapm-1","MonoCD14"
"abgckgjl-1","HSC"
"abgfmdoa-1","Granulocyte_monocyte_progenitor"
"abgfodko-1","Neutrophil"
"abgfonia-1","Granulocyte_monocyte_progenitor"
"abghgbim-1","Neutrophil"
"abghkoed-1","Nonhaem"
"abghocga-1","Nonhaem"
"abgihmld-1","Erythroid"
"abgikdpc-1","Erythroid"
"abgkakkp-1","CD8_T_memory"
"abgkedmo-1","Erythroid"
"abgkohia-1","Erythroid"
"abgmjchh-1","Nonhaem"
"abgnkiac-1","MonoCD14"
"abgppmih-1","Erythroid"
"abhajnll-1","Erythroid"
"abhajoff-1","Macrophage"
"abhcagba-1","Erythroid"
"abhcijli-1","Erythroid"
"abhciodd-1","Erythroid"
"abhdcldi-1","Erythroid"
"abhdglip-1","HSC"
"abhdkeba-1","Macrophage"
"abhdlglb-1","HSC"
"abhdolfo-1","HSC"
"abhecheb-1","Erythroid"
"abhememc-1","Erythroid"
"abhhfcdh-1","Neutrophil"
"abhhffkd-1","Erythroid"
"abhhpjbf-1","Erythroid"
"abhiaokl-1","MonoCD14"
"abhidpjp-1","Erythroid"
"abhkjibe-1","Erythroid"
"abhkjihj-1","MonoCD14"
"abhkmfpe-1","Erythroid"
"abhkomcn-1","Neutrophil"
"abhkphoi-1","Nonhaem"
"abhllmid-1","Neutrophil"
"abhnmagc-1","Neutrophil"
"abhnnmmm-1","Granulocyte_monocyte_progenitor"
"abhobaeo-1","Neutrophil"
"abhoclda-1","Nonhaem"
"abhofeoc-1","Erythroid"
"abhpjipn-1","Erythroid"
"abhpmlih-1","Erythroid"
"abhpokdb-1","Erythroid"
"abiblpfg-1","Erythroid"
"abibmdod-1","Erythroid"
"abicffnl-1","Erythroid"
"abicjhdl-1","Macrophage"
"abiclebk-1","Nonhaem"
"abicnlpd-1","Erythroid"
"abiecjfd-1","Erythroid"
"abihabff-1","MonoCD14"
"abiheglm-1","Neutrophil"
"abihogcj-1","Neutrophil"
"abiicjfe-1","Erythroid"
"abiihonp-1","Erythroid"
"abiimhjc-1","Neutrophil"
"abijahij-1","Neutrophil"
"abijfjio-1","Neutrophil"
"abikboch-1","Erythroid"
"abildmfa-1","Neutrophil"
"abilmmpf-1","Erythroid"
"abimjlah-1","HSC"
"abimlijk-1","Neutrophil"
"abinclkm-1","CD4_T_memory"
"abiobjaf-1","Erythroid"
"abionkia-1","Erythroid"
"abipefii-1","Erythroid"
"abipfgnl-1","Erythroid"
"abipoblk-1","Erythroid"
"abipojdb-1","Neutrophil"
"abjakhmd-1","Neutrophil"
"abjalepc-1","HSC"
"abjbfkoi-1","HSC"
"abjbjmpp-1","CTL"
"abjcaflm-1","Nonhaem"
"abjcmboj-1","Macrophage"
"abjdalol-1","Neutrophil"
"abjdbabo-1","Erythroid"
"abjdlpkn-1","Neutrophil"
"abjennhi-1","Erythroid"
"abjfdpci-1","CTL"
"abjfigkh-1","Erythroid"
"abjgbgff-1","Neutrophil"
"abjgeilg-1","Erythroid"
"abjhmimd-1","CD4_T_memory"
"abjjjngn-1","MonoCD14"
"abjlfmfi-1","Granulocyte_monocyte_progenitor"
"abjlpkfl-1","Erythroid"
"abjnnmcl-1","B_naive"
"abjoiooj-1","Neutrophil"
"abkbbfjp-1","Erythroid"
"abkcefmh-1","Neutrophil"
"abkchghf-1","HSC"
"abkeegmc-1","Granulocyte_monocyte_progenitor"
"abkeekma-1","Erythroid"
"abkeklpb-1","CD4_T_memory"
"abkfofei-1","HSC"
"abkikdhn-1","Neutrophil"
"abkjbpgk-1","Neutrophil"
"abkjcpnf-1","CD4_T_memory"
"abkjekfl-1","Neutrophil"
"abkjlndi-1","Erythroid"
"abkjnken-1","HSC"
"abkjoafa-1","Neutrophil"
"abkkljce-1","Erythroid"
"abklcjog-1","Neutrophil"
"abkmgdke-1","Erythroid"
"abkmjaan-1","Erythroid"
"abkpliej-1","B_naive"
"ablaeffh-1","Erythroid"
"ablahpef-1","MonoCD14"
"ablbdcdc-1","Erythroid"
"ablbpndg-1","Erythroid"
"ablcnkjo-1","Neutrophil"
"ableakbi-1","Erythroid"
"ablejlcm-1","Erythroid"
"ablfengm-1","Neutrophil"
"ablgajji-1","CD4_Tcm"
"ablihgfc-1","Granulocyte_monocyte_progenitor"
"abljajnc-1","NK_cell"
"abljhmok-1","pDC"
"abljngdn-1","Neutrophil"
"ablkamid-1","Neutrophil"
"ablkcfba-1","Nonhaem"
"abllecfi-1","B_progenitor"
"ablllecl-1","Neutrophil"
"ablodgjb-1","HSC"
"ablohjih-1","Granulocyte_monocyte_progenitor"
"abmbceeg-1","Neutrophil"
"abmcaofd-1","Erythroid"
"abmcfhlo-1","Neutrophil"
"abmckgje-1","Neutrophil"
"abmcmogp-1","Neutrophil"
"abmddkbe-1","BaEoMa"
"abmdemjm-1","HSC"
