"","celltype"
"aaaaekoi-1","MonoCD16"
"aaaaennc-1","HSC"
"aaaaggjh-1","HSC"
"aaaaifjl-1","Neutrophil"
"aaabclde-1","Plasma_cell"
"aaabkand-1","Neutrophil"
"aaabkgah-1","Neutrophil"
"aaacccbl-1","Plasma_cell"
"aaaficjp-1","Plasma_cell"
"aaahfkii-1","HSC"
"aaahgofl-1","Macrophage"
"aaaieekk-1","Macrophage"
"aaaihkno-1","Nonhaem"
"aaaiokna-1","pDC"
"aaajfgco-1","HSC"
"aaalondj-1","MonoCD14"
"aaamgfmm-1","Plasma_cell"
"aaanjojd-1","Erythroid"
"aaanmjml-1","Erythroid"
"aabaobep-1","Erythroid"
"aabapmbg-1","HSC"
"aabcaank-1","HSC"
"aabcieii-1","Plasma_cell"
"aabdccak-1","Erythroid"
"aabeecpf-1","pDC"
"aabgjpai-1","B_progenitor"
"aabioiog-1","B_memory"
"aabjmlha-1","HSC"
"aablkpbd-1","Plasma_cell"
"aabmliim-1","BaEoMa"
"aabogoii-1","CD4_Tcm"
"aabpdnia-1","Nonhaem"
"aabpkije-1","HSC"
"aacbkicl-1","HSC"
"aaccdife-1","Erythroid"
"aacdgnab-1","Neutrophil"
"aacdkfdb-1","MonoCD14"
"aacdmhhn-1","MonoCD14"
"aacgcmjd-1","Nonhaem"
"aacghkcj-1","Macrophage"
"aacgjfck-1","Macrophage"
"aachfkgm-1","Plasma_cell"
"aaciifod-1","CD4_T_naive"
"aaclaleo-1","MonoCD14"
"aacmeepj-1","Nonhaem"
"aacnefoc-1","Erythroid"
"aacpbdab-1","HSC"
"aacplldo-1","Macrophage"
"aadbalii-1","Erythroid"
"aadbenif-1","Nonhaem"
"aadbhenc-1","MonoCD14"
"aadbkdfh-1","Macrophage"
"aadcffbl-1","Macrophage"
"aadcmbek-1","Nonhaem"
"aaddbnhl-1","Macrophage"
"aaddcaob-1","Erythroid"
"aadfeejp-1","Erythroid"
"aadfmglc-1","Erythroid"
"aadglich-1","Erythroid"
"aadiecbn-1","pDC"
"aadjcggm-1","Granulocyte_monocyte_progenitor"
"aadjegjb-1","MonoCD14"
"aadmmnkm-1","CD4_T_naive"
"aaeagnge-1","HSC"
"aaebngag-1","BaEoMa"
"aaefmbbk-1","HSC"
"aaehgjob-1","B_naive"
"aaeigmaf-1","B_progenitor"
"aaejgncl-1","pDC"
"aaejihdi-1","Plasma_cell"
"aaejnpda-1","CTL"
"aaejoome-1","CD4_T_naive"
"aaelfegj-1","Macrophage"
"aaeljigo-1","pDC"
"aaenbgei-1","Platelet"
"aaenfpfb-1","Erythroid"
"aaeoecmo-1","Erythroid"
"aafffllc-1","Erythroid"
"aafijdbg-1","Erythroid"
"aafikgji-1","Neutrophil"
"aafjmlmb-1","B_progenitor"
"aafkepfj-1","Plasma_cell"
"aafkihid-1","HSC"
"aaflbhcp-1","HSC"
"aafoabac-1","B_progenitor"
"aafpgjdi-1","MonoCD14"
"aagaaiih-1","HSC"
"aagaddlh-1","Plasma_cell"
"aagbhhjj-1","Erythroid"
"aagbmode-1","MonoCD14"
"aagcgmip-1","Erythroid"
"aagcjone-1","Plasma_cell"
"aagdfmek-1","HSC"
"aageapgp-1","MonoCD16"
"aageeeca-1","Neutrophil"
"aaggjhml-1","MonoCD14"
"aagidkjc-1","Nonhaem"
"aagifbci-1","Nonhaem"
"aagiffai-1","Erythroid"
"aagnedii-1","Erythroid"
"aagodljn-1","Erythroid"
"aagoplik-1","Erythroid"
"aahbegel-1","HSC"
"aahbgklo-1","HSC"
"aahccmoo-1","Nonhaem"
"aahengab-1","Erythroid"
"aaheopem-1","Erythroid"
"aahepgle-1","Erythroid"
"aahfblgc-1","HSC"
"aahfchii-1","HSC"
"aahgahcm-1","Nonhaem"
"aahhodlf-1","Erythroid"
"aahjpipg-1","B_memory"
"aahnkgif-1","Erythroid"
"aahnmghn-1","Platelet"
"aahnobbm-1","MonoCD14"
"aahoaocm-1","HSC"
"aahobkdn-1","Erythroid"
"aahopgom-1","Erythroid"
"aahpbnmk-1","Erythroid"
"aahpfofa-1","Erythroid"
"aahpkdkn-1","Nonhaem"
"aaiacbpj-1","Plasma_cell"
"aaiakjjk-1","MonoCD14"
"aaiakobk-1","Erythroid"
"aaibbkcf-1","Erythroid"
"aaibegpa-1","HSC"
"aaidajec-1","Macrophage"
"aaieacjc-1","Plasma_cell"
"aaigield-1","Erythroid"
"aaihjohc-1","Erythroid"
"aaikegbf-1","Nonhaem"
"aaimcepk-1","B_progenitor"
"aainjiep-1","HSC"
"aainnpkp-1","Plasma_cell"
"aaiohpho-1","Erythroid"
"aaipkjfa-1","Erythroid"
"aaipodff-1","Erythroid"
"aajblnad-1","Nonhaem"
"aajdbagn-1","Nonhaem"
"aajeoejc-1","HSC"
"aajgebfk-1","HSC"
"aajiobep-1","Erythroid"
"aajiohje-1","Erythroid"
"aajlfidn-1","B_memory"
"aajmcpal-1","Erythroid"
"aajnpoli-1","HSC"
"aajodagk-1","Erythroid"
"aajofpcn-1","Macrophage"
"aajopcjd-1","B_progenitor"
"aajpmlbn-1","pDC"
"aakaehmc-1","Erythroid"
"aakbdnla-1","HSC"
"aakbjnfj-1","Erythroid"
"aakbmbal-1","Macrophage"
"aakcmaob-1","Erythroid"
"aakdahkp-1","B_progenitor"
"aakdboel-1","Erythroid"
"aakddeld-1","Macrophage"
"aakfhhca-1","Erythroid"
"aakkcigc-1","MonoCD14"
"aakknfib-1","Plasma_cell"
"aaklahcn-1","Plasma_cell"
"aaklphip-1","Nonhaem"
"aakmipaf-1","Nonhaem"
"aalaeegc-1","MonoCD14"
"aalaipio-1","Plasma_cell"
"aalapilj-1","Erythroid"
"aalbmbbd-1","Nonhaem"
"aalbnlpe-1","Erythroid"
"aalckmjk-1","Erythroid"
"aaldinkp-1","Erythroid"
"aalefkin-1","Plasma_cell"
"aalendfl-1","Erythroid"
"aalepapk-1","Nonhaem"
"aalhkfoh-1","HSC"
"aalihhbb-1","Nonhaem"
"aalijpgd-1","Macrophage"
"aalimhoe-1","HSC"
"aalinjad-1","Plasma_cell"
"aallebnm-1","Erythroid"
"aalmfoll-1","Erythroid"
"aalmkfdk-1","HSC"
"aalmkoij-1","Erythroid"
"aalnedkk-1","Erythroid"
"aalnenfk-1","Erythroid"
"aalneone-1","Nonhaem"
"aalphgdd-1","Erythroid"
"aamaanoi-1","Nonhaem"
"aamagdfm-1","Erythroid"
"aaminidg-1","HSC"
"aamiolko-1","Nonhaem"
"aamipmgb-1","Granulocyte_monocyte_progenitor"
"aamlcaji-1","Macrophage"
"aamliogg-1","MonoCD16"
"aammnpoj-1","Erythroid"
"aamnofhi-1","CD4_T_naive"
"aamodcph-1","Granulocyte_monocyte_progenitor"
"aancjckc-1","Erythroid"
"aaneaeca-1","Erythroid"
"aanejiff-1","Erythroid"
"aanepnne-1","Erythroid"
"aanfakln-1","Erythroid"
"aanigalk-1","Erythroid"
"aanmdhgk-1","pDC"
"aanpbaah-1","Nonhaem"
"aaoanjji-1","Erythroid"
"aaoanjla-1","Erythroid"
"aaobggfi-1","Erythroid"
"aaocpcdh-1","Erythroid"
"aaofhmco-1","Erythroid"
"aaojbecl-1","HSC"
"aaolgofc-1","HSC"
"aaomafne-1","Plasma_cell"
"aaonaofo-1","B_progenitor"
"aaonlajo-1","Erythroid"
"aaooibff-1","Erythroid"
"aaoojojk-1","B_memory"
"aaookjao-1","CD8_T_memory"
"aaopifni-1","Erythroid"
"aapafkdi-1","Erythroid"
"aapbbnpe-1","Erythroid"
"aapbekgi-1","B_memory"
"aapdeake-1","Erythroid"
"aapdjamo-1","Erythroid"
"aapehcdg-1","Erythroid"
"aapeoblc-1","HSC"
"aapfnaen-1","Erythroid"
"aapgjahp-1","Erythroid"
"aapgofho-1","pDC"
"aaphocka-1","Erythroid"
"aapjeefh-1","Erythroid"
"aapjjhmg-1","Erythroid"
"aapkjkbj-1","Erythroid"
"aaplheao-1","Erythroid"
"aapmekga-1","Erythroid"
"aapnddpc-1","Erythroid"
"aapomaaf-1","Erythroid"
"aappbjhf-1","Erythroid"
"ababobnk-1","Erythroid"
"abadbcbp-1","Erythroid"
"abadbell-1","Erythroid"
"abafdnge-1","pDC"
"abaffkeh-1","Erythroid"
"abaghogj-1","Erythroid"
"abaiggld-1","HSC"
"abakjcgk-1","CD4_Tcm"
"abakkepn-1","HSC"
"abalbknm-1","Erythroid"
"abaleeje-1","Erythroid"
"abalffhg-1","Granulocyte_monocyte_progenitor"
"abamhkfo-1","Erythroid"
"abanlhck-1","Erythroid"
"abaochod-1","B_memory"
"abaphlkn-1","Erythroid"
"abapmeen-1","Neutrophil"
"abapnfcc-1","Macrophage"
"abappkkn-1","Neutrophil"
"abbbcndc-1","B_progenitor"
"abbbkdje-1","HSC"
"abbdheja-1","HSC"
"abbefilh-1","Erythroid"
"abbfbbcj-1","Erythroid"
"abbfbhdg-1","Erythroid"
"abbhofbp-1","HSC"
"abbjblcn-1","Nonhaem"
"abblfibd-1","Plasma_cell"
"abbnbcbg-1","Erythroid"
"abbopacg-1","HSC"
"abbpccok-1","Granulocyte_monocyte_progenitor"
"abbpkkih-1","Plasma_cell"
"abccmgkl-1","Nonhaem"
"abccopni-1","Nonhaem"
"abcgkbca-1","Erythroid"
"abchedpc-1","HSC"
"abcjnkfk-1","HSC"
"abdbfkmm-1","Erythroid"
"abdcdeah-1","HSC"
"abdcjcod-1","Granulocyte_monocyte_progenitor"
"abdendid-1","MonoCD14"
"abdgchhk-1","Erythroid"
"abdgmogd-1","Erythroid"
"abdhbdpi-1","HSC"
"abdhhkpp-1","Erythroid"
"abdhjhhp-1","Erythroid"
"abdknong-1","Erythroid"
"abdnijji-1","MonoCD16"
"abdokbph-1","Erythroid"
"abdpgbmf-1","Erythroid"
"abeagihk-1","Nonhaem"
"abefkppf-1","Erythroid"
"abeghpad-1","Erythroid"
"abekplil-1","Erythroid"
"abelpdpm-1","B_memory"
"abepglee-1","Plasma_cell"
"abepheak-1","Neutrophil"
"abepmdkb-1","Erythroid"
"abfblplf-1","Nonhaem"
"abfhbaek-1","B_progenitor"
"abfinpgm-1","MonoCD14"
"abfjdelf-1","Erythroid"
"abfkmmle-1","Neutrophil"
"abfmedme-1","MonoCD14"
"abfogkge-1","Erythroid"
"abfpbdjc-1","Erythroid"
"abfphnho-1","Erythroid"
"abfpnanf-1","Erythroid"
"abgdjcbe-1","Erythroid"
"abgedagj-1","Erythroid"
"abgeghle-1","MonoCD14"
"abgfaoif-1","MonoCD14"
"abggmhfo-1","Neutrophil"
"abghpjne-1","Erythroid"
"abgkkfcp-1","Erythroid"
"abgmgepo-1","Nonhaem"
"abgnhace-1","Erythroid"
"abgohpoc-1","Plasma_cell"
"abgoomfa-1","Erythroid"
"abgpbdkn-1","Erythroid"
"abhahgml-1","BaEoMa"
"abhedgnk-1","MonoCD14"
"abhfadcj-1","CD8_T_memory"
"abhjmpga-1","MonoCD14"
"abhkcmko-1","Neutrophil"
"abhligem-1","Macrophage"
"abhobkeb-1","Erythroid"
"abiacbnc-1","Neutrophil"
"abiahhen-1","HSC"
"abiciima-1","Erythroid"
"abicmllk-1","HSC"
"abidleji-1","Erythroid"
"abidoboa-1","Erythroid"
"abieinga-1","Erythroid"
"abielcoe-1","Erythroid"
"abihljka-1","Erythroid"
"abijbmdj-1","HSC"
"abijcgin-1","HSC"
"abijjlnj-1","HSC"
"abijokaa-1","Erythroid"
"abilkacm-1","Erythroid"
"abimcgjb-1","Plasma_cell"
"abimeill-1","Erythroid"
"abinkobf-1","Erythroid"
"abinpekp-1","Erythroid"
"abiodoih-1","Erythroid"
"abiphlpe-1","Erythroid"
"abjbpiol-1","Erythroid"
"abjbpmed-1","HSC"
"abjccial-1","Plasma_cell"
"abjciich-1","B_progenitor"
"abjcnbcm-1","Erythroid"
"abjenpag-1","Erythroid"
"abjfclml-1","MonoCD14"
"abjfoipj-1","Erythroid"
"abjgflja-1","Plasma_cell"
"abjigcgi-1","Erythroid"
"abjjhgfh-1","Erythroid"
"abjkpdde-1","Erythroid"
"abjlgijm-1","T_prolifer"
"abjmckjk-1","Erythroid"
"abjnledc-1","CTL"
"abjoikpc-1","HSC"
"abjolkfn-1","HSC"
"abjpfbbb-1","HSC"
"abjpmmlo-1","HSC"
"abkahdcj-1","HSC"
"abkahhdp-1","Nonhaem"
"abkcejcp-1","HSC"
"abkcnoca-1","Macrophage"
"abkejkfk-1","MonoCD14"
"abkfdcoh-1","Plasma_cell"
"abkfhgam-1","Nonhaem"
"abkgfabo-1","Erythroid"
"abkgpmco-1","HSC"
"abkjgdpp-1","HSC"
"abkkbhee-1","Nonhaem"
"abkljpjl-1","Nonhaem"
"abkmiieh-1","Neutrophil"
"abknojhd-1","Erythroid"
"abkplcck-1","MonoCD14"
"ablanhmj-1","Erythroid"
"ablbmhmp-1","Granulocyte_monocyte_progenitor"
"ablbpfll-1","Erythroid"
"ablcjlnb-1","HSC"
"abldpbbc-1","MonoCD14"
"ablfgegn-1","B_memory"
"ablgidjn-1","MonoCD14"
"ablgjdjg-1","Erythroid"
"ablgoiij-1","Neutrophil"
"ablhcjpk-1","Nonhaem"
"ablijfhe-1","HSC"
"abljknml-1","HSC"
"abljngpo-1","Neutrophil"
"abljnobo-1","Erythroid"
"ablkcdoa-1","HSC"
"ablkemcp-1","Erythroid"
"ablkfdhj-1","HSC"
"ablokjhg-1","HSC"
"ablopkej-1","Nonhaem"
"ablpacak-1","HSC"
"ablplfnn-1","HSC"
"ablppdnm-1","Erythroid"
"abmamifm-1","HSC"
"abmbglpk-1","Erythroid"
"abmenfdh-1","Plasma_cell"
"abmfhmfn-1","Erythroid"
"abmhlhka-1","Plasma_cell"
"abmkhbim-1","pDC"
"abmondac-1","Erythroid"
"abmplhie-1","HSC"
"abnahjaf-1","Erythroid"
"abnaifla-1","Erythroid"
"abncecga-1","BaEoMa"
"abndahnb-1","B_progenitor"
"abndpcil-1","Nonhaem"
"abnealmi-1","Erythroid"
"abnklmkm-1","Nonhaem"
"abnoifkf-1","Erythroid"
"abnolold-1","MonoCD16"
"abnoplbd-1","Erythroid"
"aboadodm-1","Erythroid"
"aboakenf-1","Erythroid"
"abobjfck-1","Erythroid"
"aboejomm-1","Erythroid"
"aboflikc-1","HSC"
"abogjfkk-1","Erythroid"
"abohdgmn-1","MonoCD14"
"abokhlhg-1","HSC"
"aboljigk-1","Erythroid"
"abomfcfm-1","Nonhaem"
"abomghgd-1","Nonhaem"
"abonokgg-1","MAIT_gdT"
"aboojacf-1","Erythroid"
"abopjjfi-1","Erythroid"
"abpbclpo-1","Nonhaem"
"abpcmadp-1","Plasma_cell"
"abpddlic-1","HSC"
"abpebcga-1","Erythroid"
"abpeckln-1","Granulocyte_monocyte_progenitor"
"abpeiebg-1","Macrophage"
"abpfjpfj-1","Macrophage"
"abpglapg-1","HSC"
"abphllof-1","Nonhaem"
"abpmkdee-1","Nonhaem"
"abpohhhj-1","Macrophage"
"abpojdkn-1","Erythroid"
"abpplfpb-1","Erythroid"
"acaaodoh-1","Erythroid"
"acaapbch-1","Erythroid"
"acabpich-1","Erythroid"
"acacimbm-1","Plasma_cell"
"acadabni-1","Macrophage"
"acadfobi-1","Macrophage"
"acaefdaa-1","Erythroid"
"acaelffm-1","Erythroid"
"acagdnfl-1","Nonhaem"
"acainhmg-1","MonoCD14"
"acakpdeh-1","Nonhaem"
"acamhdba-1","Neutrophil"
"acamikil-1","Neutrophil"
"acamlhlf-1","Erythroid"
"acaoaphp-1","Erythroid"
"acaocmkp-1","Macrophage"
"acaokihk-1","Nonhaem"
"acbbkmka-1","T_prolifer"
"acbcpeod-1","Macrophage"
"acbdmkpe-1","Erythroid"
"acbeagem-1","HSC"
"acbeodml-1","HSC"
"acbfdlmc-1","Erythroid"
"acbfegpc-1","Nonhaem"
"acbhifpm-1","Nonhaem"
"acbjgobh-1","Plasma_cell"
"acbjkeib-1","Nonhaem"
"acbkfdod-1","Plasma_cell"
"acbmgldo-1","Plasma_cell"
"acbnjmde-1","Plasma_cell"
"acccnjpn-1","Plasma_cell"
"accdffja-1","B_naive"
"accfjcia-1","MonoCD14"
"accgffje-1","Nonhaem"
"acchdpfn-1","pDC"
"accpkbfb-1","HSC"
"acdacbga-1","Neutrophil"
"acdaecfp-1","MonoCD14"
"acdbhdck-1","Erythroid"
"acdbhlgg-1","Erythroid"
"acdclldh-1","Erythroid"
"acdfogkm-1","HSC"
"acdidngh-1","HSC"
"acdkdofl-1","Erythroid"
"acdlobpm-1","Erythroid"
"acdnggjo-1","MonoCD14"
"acdnjofp-1","Erythroid"
"acdnpbip-1","Erythroid"
"acdobihc-1","Erythroid"
"acdoiopn-1","Erythroid"
"acebjfcg-1","Granulocyte_monocyte_progenitor"
"acebolkn-1","HSC"
"acecejab-1","HSC"
"acecgapo-1","Neutrophil"
"acecjbkg-1","Erythroid"
"acecobog-1","Erythroid"
"acecpbam-1","Plasma_cell"
"acedmfdf-1","Erythroid"
"acedodlm-1","MonoCD14"
"acefjnlc-1","MonoCD14"
"aceglffo-1","Macrophage"
"aceighjg-1","Granulocyte_monocyte_progenitor"
"acfajpgf-1","Erythroid"
"acfffjdc-1","Erythroid"
"acfjnloe-1","Neutrophil"
"acfohhlg-1","HSC"
"acfpdmkd-1","Plasma_cell"
"acganfcl-1","HSC"
"acgbhdbf-1","Erythroid"
