"","celltype"
"aaaajgcj-1","Erythroid"
"aaafcjdc-1","Nonhaem"
"aaajngki-1","Erythroid"
"aaapdnee-1","Nonhaem"
"aabbjoik-1","Neutrophil"
"aabcfbic-1","B_progenitor"
"aabjpfko-1","Macrophage"
"aabldnnf-1","HSC"
"aabnfbfm-1","Macrophage"
"aabojiao-1","B_progenitor"
"aacbclih-1","Nonhaem"
"aacckplm-1","Nonhaem"
"aaccpopa-1","HSC"
"aacfocin-1","Macrophage"
"aackeahk-1","Nonhaem"
"aackemon-1","Macrophage"
"aacldpae-1","MAIT_gdT"
"aaclgmja-1","HSC"
"aacmeped-1","pDC"
"aacmikbk-1","Nonhaem"
"aacmklgh-1","Nonhaem"
"aadcbkka-1","Nonhaem"
"aadchled-1","Nonhaem"
"aadcijea-1","BaEoMa"
"aadfgeaj-1","Granulocyte_monocyte_progenitor"
"aadflgem-1","MonoCD14"
"aadgegjj-1","Erythroid"
"aadgigmm-1","B_progenitor"
"aadiiedn-1","BaEoMa"
"aadiljbm-1","Nonhaem"
"aadingdc-1","Macrophage"
"aadjcmmo-1","Erythroid"
"aadlmhbf-1","B_progenitor"
"aadlnoep-1","Nonhaem"
"aadpdjda-1","Nonhaem"
"aadpompk-1","Plasma_cell"
"aaealnfh-1","Nonhaem"
"aaebaibj-1","Nonhaem"
"aaebllfo-1","Plasma_cell"
"aaeddpcf-1","Nonhaem"
"aaeenmlh-1","HSC"
"aaeeofeh-1","Nonhaem"
"aaefmpai-1","Nonhaem"
"aaehmklj-1","Erythroid"
"aaehpngn-1","Nonhaem"
"aaejkbda-1","Erythroid"
"aafajnip-1","Nonhaem"
"aafenkme-1","MonoCD14"
"aafgnili-1","Nonhaem"
"aafjchgh-1","Nonhaem"
"aafnbagl-1","HSC"
"aafoaaen-1","HSC"
"aafpkfoh-1","MonoCD14"
"aagbpkne-1","Nonhaem"
"aagdnkfk-1","HSC"
"aagfgfal-1","pDC"
"aagkokdl-1","Erythroid"
"aagnjgki-1","HSC"
"aagodlck-1","Granulocyte_monocyte_progenitor"
"aagohhpn-1","Granulocyte_monocyte_progenitor"
"aahbemlf-1","HSC"
"aahcggge-1","Nonhaem"
"aahfbimd-1","Nonhaem"
"aahhcaii-1","Nonhaem"
"aahickli-1","Plasma_cell"
"aahjkgke-1","BaEoMa"
"aahlgagl-1","Nonhaem"
"aahmkelf-1","pDC"
"aahpoijb-1","pDC"
"aaickcpl-1","CD8_T_memory"
"aaifcoga-1","B_progenitor"
"aaihoial-1","CD4_T_naive"
"aaihpjmb-1","B_progenitor"
"aaijjjed-1","Erythroid"
"aaijmomn-1","B_progenitor"
"aaikkmkl-1","HSC"
"aajbpoic-1","Granulocyte_monocyte_progenitor"
"aajcnlng-1","Nonhaem"
"aajfgihl-1","Nonhaem"
"aajhljgb-1","pDC"
"aajhmchc-1","Plasma_cell"
"aajkegop-1","HSC"
"aajlcheb-1","Erythroid"
"aajoaopp-1","Nonhaem"
"aakdnpdm-1","BaEoMa"
"aalnklhh-1","MonoCD14"
"aamanggm-1","Granulocyte_monocyte_progenitor"
"aamgcbbf-1","Nonhaem"
"aamjfmld-1","Nonhaem"
"aanakdil-1","Granulocyte_monocyte_progenitor"
"aanbaapm-1","Erythroid"
"aanefaec-1","HSC"
"aanegcme-1","NK_cell"
"aangjgoj-1","HSC"
"aaniacma-1","B_progenitor"
"aanipfbh-1","Erythroid"
"aankhmpp-1","Granulocyte_monocyte_progenitor"
"aankloeb-1","Nonhaem"
"aanlecln-1","Nonhaem"
"aaobdcjl-1","B_progenitor"
"aaodjini-1","HSC"
